woman	1.0	0.3798808735936466
tv	1.0	0.004191484667990294
tree	1.0	0.11515552614162806
tour	1.0	0.00044120891242003087
table	1.0	0.11824398852856828
sootcase	1.0	0.00022060445621001543
sheep	1.0	0.008824178248400618
sad	1.0	0.02757555702625193
romance	1.0	0.00772115596735054
rock	1.0	0.007059342598720494
rip	1.0	0.00044120891242003087
picture	1.0	0.04257666004853298
pencil	1.0	0.015662916390911098
painting	1.0	0.011692036179130819
officer	1.0	0.0024266490183101697
none	1.0	0.017207147584381206
night	1.0	0.029781601588352084
map	1.0	0.001544231193470108
man	1.0	0.5682770791969998
leaf	1.0	0.01632472975954114
lamp	1.0	0.06728435914405471
jail	1.0	0.0013236267372600927
i	1.0	0.20229428634458416
house	1.0	0.05118023384072358
home	1.0	0.011471431722920804
hand	1.0	0.027134348113831898
girl	1.0	0.18530774321641297
fish	1.0	0.010589013898080741
family	1.0	0.005515111405250386
door	1.0	0.1014780498566071
dinner	1.0	0.001985440105890139
dark	1.0	0.016765938671961175
cloth	1.0	0.009927200529450696
childern	1.0	0.0008824178248400617
child	1.0	0.04434149569821311
car	1.0	0.08934480476505625
boy	1.0	0.12331789102139863
bird	1.0	0.0008824178248400617
bike	1.0	0.0011030222810500773
baby	1.0	0.0066181336863004635
art	1.0	0.0066181336863004635
	1.0	0.20383851753805426
advice	0.9842919431064979	0.00044120891242003087
pistol	0.9827640345772565	0.0006618133686300463
hungry	0.9815419631346238	0.0008824178248400617
man\	0.9805031958027602	0.0011030222810500773
lift	0.9805031958027602	0.0011030222810500773
beard	0.9787648302141296	0.001544231193470108
blurry	0.9760434919668974	0.0024266490183101697
blood	0.9760434919668974	0.0024266490183101697
jewelry	0.9755007186877438	0.00044120891242003087
singing	0.9729037028781332	0.0037502757555702626
wa	0.9720038274730048	0.004191484667990294
jeep	0.9720038274730048	0.004191484667990294
fight	0.9699639739049533	0.005294506949040371
happy	0.967466987348627	0.006838738142510479
stage	0.9643730753438322	0.009044782704610633
box	0.9629726615049884	0.010147804985660711
ring	0.9624341252540196	0.010589013898080741
boat	0.9624341252540196	0.010589013898080741
pen	0.9598943349393577	0.012795058460180895
kid	0.9594127954103973	0.013236267372600927
screen	0.9575594324241422	0.01500110302228105
floor	0.9551711363961339	0.01742775204059122
sheet	0.9548928803970805	0.004853298036620339
office	0.9547538142149243	0.01786896095301125
blanket	0.953143773430565	0.005515111405250386
forest	0.9520424556972062	0.005956320317670417
surprise	0.9518808080990571	0.0011030222810500773
brick	0.9515088146534436	0.006176924773880432
sofa	0.9509988594749055	0.022060445621001543
policeman	0.9483952150526338	0.0008824178248400617
trunk	0.9480242586926222	0.00022060445621001543
glass	0.9478972908331303	0.025810721376571807
space	0.9477914252269701	0.001544231193470108
flower	0.9439882939973682	0.03088462386940216
cute	0.943233779735394	0.0013236267372600927
seam	0.9428289593147018	0.00022060445621001543
field	0.9401030581677497	0.0026472534745201853
tw	0.9398698412037688	0.03662033973086257
curtain	0.9397166857224833	0.03684094418707258
talkimg	0.9384645911126717	0.00022060445621001543
hair	0.9366039306581746	0.014118685197440988
shelf	0.9362636886855668	0.014339289653651003
road	0.9349844137734729	0.04390028678579307
shell	0.9345245483345889	0.00022060445621001543
doar	0.9327241226230426	0.00022060445621001543
mor	0.9326796159992338	0.016765938671961175
newspaper	0.9310738255961015	0.002867857930730201
ol	0.930931857548774	0.05029781601588352
people	0.9307954789417373	0.05051842047209354
waiting	0.9300217735645688	0.0006618133686300463
draw	0.9269302153961844	0.0011030222810500773
an	0.9267940388467573	0.057136554158394
on	0.926142701974744	0.05823957643944408
playing	0.9259654452156025	0.0037502757555702626
laady	0.9258942894950585	0.00022060445621001543
studied	0.9252359031596357	0.00022060445621001543
glas	0.9245958318296583	0.06088682991396426
copule	0.9202775812742333	0.0008824178248400617
phone	0.920117694313306	0.026693139201411867
building	0.9198335515159145	0.06926979924994485
ma	0.9160798490185291	0.07610853739245532
camera	0.9156904817649931	0.004632693580410324
gras	0.9115618423911642	0.034634899624972425
dam	0.9114053648708337	0.0006618133686300463
pillar	0.9108217932933794	0.010589013898080741
kis	0.9106789527937035	0.0017648356496801235
sketch	0.9098939273061996	0.0026472534745201853
roo	0.9095242213320741	0.001544231193470108
shield	0.9085674000789022	0.00022060445621001543
persons\	0.9078997206969565	0.00022060445621001543
exhibition	0.907013025118094	0.00044120891242003087
stem	0.9053904726205163	0.00044120891242003087
town	0.9050599850071396	0.0011030222810500773
seeing	0.904771985687875	0.009044782704610633
article	0.9039262885437067	0.00022060445621001543
shutter	0.901909737243837	0.0006618133686300463
feeling	0.9014670717946657	0.0026472534745201853
chair	0.9013785004852827	0.10456651224354732
discusing	0.9002391674806639	0.00022060445621001543
study	0.8995951608010402	0.0006618133686300463
hospital	0.8991377810790839	0.0037502757555702626
background	0.8982803005906472	0.005515111405250386
blac	0.8975502145881489	0.005735715861460402
dor	0.8955741195658548	0.00022060445621001543
surprising	0.8952174768125897	0.00022060445621001543
senior	0.8952174768125897	0.00022060445621001543
electronic	0.8948822979295316	0.0006618133686300463
decorate	0.8929869874698284	0.001544231193470108
window	0.8921594428306225	0.12353849547760865
whistle	0.8898807282663185	0.0006618133686300463
girl'	0.8880681791346192	0.0006618133686300463
outing	0.8866675345745755	0.0008824178248400617
strin	0.8866090175633413	0.00022060445621001543
wall	0.8865393564605496	0.13545113611294948
scarf	0.8841978807785027	0.004191484667990294
stamp	0.8787819459745154	0.00022060445621001543
lef	0.8787819459745154	0.00022060445621001543
furniture	0.8748790591711048	0.003970880211780278
